roi,quantile,R0,United States_avg,ar,car,ifr,ir,loo,lp__rhat,waic,n_data_pts,t0
BR_Mato Grosso do Sul,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,847.0,82.0
BR_Mato Grosso do Sul,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,82.0
BR_Mato Grosso do Sul,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,82.0
BR_Minas Gerais,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,938.0,77.0
BR_Minas Gerais,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,938.0,77.0
BR_Minas Gerais,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,938.0,77.0
BR_Minas Gerais,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,938.0,77.0
BR_Minas Gerais,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,938.0,77.0
BR_Minas Gerais,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,77.0
BR_Minas Gerais,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,77.0
BR_Para,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,888.0,86.0
BR_Para,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,888.0,86.0
BR_Para,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,888.0,86.0
BR_Para,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,888.0,86.0
BR_Para,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,888.0,86.0
BR_Para,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,86.0
BR_Para,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,86.0
BR_Paraiba,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,867.0,93.0
BR_Paraiba,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,867.0,93.0
BR_Paraiba,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,867.0,93.0
BR_Paraiba,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,867.0,93.0
BR_Paraiba,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,867.0,93.0
BR_Paraiba,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,93.0
BR_Paraiba,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,93.0
BR_Parana,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,850.0,72.0
BR_Parana,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,850.0,72.0
BR_Parana,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,850.0,72.0
BR_Parana,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,850.0,72.0
BR_Parana,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,850.0,72.0
BR_Parana,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,72.0
BR_Parana,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,72.0
BR_Pernambuco,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,74.0
BR_Pernambuco,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,74.0
BR_Pernambuco,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,74.0
BR_Pernambuco,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,74.0
BR_Pernambuco,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,74.0
BR_Pernambuco,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,74.0
BR_Pernambuco,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,74.0
BR_Piaui,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,858.0,89.0
BR_Piaui,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,858.0,89.0
BR_Piaui,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,858.0,89.0
BR_Piaui,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,858.0,89.0
